property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"2 bed house, LEEDS","VINERY ROAD, LEEDS, LEEDS, LS4 2LA",From £106 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7341/c07c038b237ff474589fab79aa111659.jpg",https://www.accommodationforstudents.com/property/AGT30003_7341,08-Dec-2021 18:58:18
"2 bed flat, LEEDS","TINSHILL ROAD, LEEDS, LEEDS, LS16 7BT",From £24 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7342/f385ab167626d1398e5635b251740258.jpg",https://www.accommodationforstudents.com/property/AGT30003_7342,08-Dec-2021 18:58:18
"2 bed flat, LEEDS","TINSHILL ROAD, LEEDS, LEEDS, LS16 7BT",From £104 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7688/b870889002817ea8518c46dc2a97137f.jpg",https://www.accommodationforstudents.com/property/AGT30003_7688,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","PARKLANE CENTRAL CROSS GRANBY, LEEDS, LEEDS, LS6 3BA",From £119 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7282/sPGBt7UWqkiVoRmTYwyHOg.jpg",https://www.accommodationforstudents.com/property/AGT30003_7282,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","PARKLANE CENTRAL BENNETT ROAD, LEEDS, LEEDS, LS6 3HN",From £125 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7285/VOR1glkknEmNjyMB1JpYaA.jpg",https://www.accommodationforstudents.com/property/AGT30003_7285,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","PARKLANE CENTRAL BENNETT ROAD, LEEDS, LEEDS, LS6 3HN",From £121 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7288/08a854e73cccef376f532295d338cd11.jpg",https://www.accommodationforstudents.com/property/AGT30003_7288,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","PARKLANE CENTRAL BENNETT ROAD, LEEDS, LEEDS, LS6 3HN",From £121 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7292/9l3BUSSlOkm-JsHRSmxnpw.jpg",https://www.accommodationforstudents.com/property/AGT30003_7292,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","PARKLANE CENTRAL CROSS GRANBY, LEEDS, LEEDS, LS6 3BA",From £119 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7289/RKOolV9qMEa7iZVJ4jGGAg.jpg",https://www.accommodationforstudents.com/property/AGT30003_7289,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","Cardigan Road, LEEDS, LEEDS, LS6 1QL",From £133 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7308/0af1b1ee4c8a5c49699548144d85000f.jpg",https://www.accommodationforstudents.com/property/AGT30003_7308,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","PARKLANE CENTRAL CROSS GRANBY, LEEDS, LEEDS, LS6 3BA",From £133 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7318/0b42b208c5d3ceeeeb6a8f71ac0df8c3.JPG",https://www.accommodationforstudents.com/property/AGT30003_7318,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","Cardigan Road, LEEDS, LEEDS, LS6 1QL",From £134 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7311/KvQncKUNq0edaWvshbeiUA.jpg",https://www.accommodationforstudents.com/property/AGT30003_7311,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","VINERY ROAD, LEEDS, LEEDS, LS4 2LA",From £106 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7320/UvgQ6JeJQEGRmn75bD59VA.jpg",https://www.accommodationforstudents.com/property/AGT30003_7320,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","HYDE PARK ROAD, LEEDS, LEEDS, LS6 1AH",From £118 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7338/5d10878eaefb40b255be6d03e4834e53.JPG",https://www.accommodationforstudents.com/property/AGT30003_7338,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","KIRKSTALL ROAD, LEEDS, LEEDS, LS4 2HQ",From £102 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7340/JHUL6kCdH0SzgsFuvs5Ofg.jpg",https://www.accommodationforstudents.com/property/AGT30003_7340,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","ASH GROVE, LEEDS, LEEDS, LS6 1AX",From £123 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7358/LCe08bTuBkqenkerV1AOtg.jpg",https://www.accommodationforstudents.com/property/AGT30003_7358,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","CLIFF ROAD - DESIGN HOUSE, LEEDS, LEEDS, LS6 2ET",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7359/6452904b1a5d2f584045c7691ddd1fe5.jpg",https://www.accommodationforstudents.com/property/AGT30003_7359,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","PARKLANE CENTRAL CROSS GRANBY, LEEDS, LEEDS, LS6 3BA",From £119 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7362/tTx_3LcqREqmcGE3W1z7NA.jpg",https://www.accommodationforstudents.com/property/AGT30003_7362,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","CHURCH WOOD AVENUE, LEEDS, LEEDS, LS16 5LF",From £106 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7488/955e5400c8b03e798bb07f357af468a9.jpg",https://www.accommodationforstudents.com/property/AGT30003_7488,08-Dec-2021 18:58:19
"2 bed house, LEEDS","MANOR AVENUE, LEEDS, LEEDS, LS6 1BY",From £106 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7491/Sl0gGgT15Ei3SZWNH8AqHQ.jpg",https://www.accommodationforstudents.com/property/AGT30003_7491,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","WOOD LANE, LEEDS, LEEDS, LS6 2AE",From £113 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7277/26d7a9328964239306dd5bbb0786fb78.jpg",https://www.accommodationforstudents.com/property/AGT30003_7277,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","NORTH LANE, LEEDS, LEEDS, LS6 3HW",From £123 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7297/WFLOKeVMD0Ga-ADPR-rgXA.jpg",https://www.accommodationforstudents.com/property/AGT30003_7297,08-Dec-2021 18:58:19
"2 bed flat, LEEDS","WOODSLEY ROAD, LEEDS, LEEDS, LS3 1DX",From £125 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/7353/0ee9f7e1c0103f429210daa2fede3b3a.JPG",https://www.accommodationforstudents.com/property/AGT30003_7353,08-Dec-2021 18:58:19
"2 bed flat, Leicester","University Road, Leicester, Leicester, LE1 7RA",From £99 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://media2.jupix.co.uk/v3/clients/1919/properties/898/IMG_898_6_large.jpg",https://www.accommodationforstudents.com/property/AGT14214_10191900090210313,08-Dec-2021 18:58:19
"2 bed flat, The Barbican","Vauxhall st, The barbican, Plymouth, PL40EU",From £145 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/156496_Main.jpg",https://www.accommodationforstudents.com/property/156496,08-Dec-2021 18:58:19
"2 bed house, Leicester","Henton Road, Leicester, Leicester, LE3 6AY",From £100 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://media2.jupix.co.uk/v3/clients/1919/properties/1216/IMG_1216_3_large.jpg",https://www.accommodationforstudents.com/property/AGT14214_10191900122110631,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Napier Terrace, Flat 1, Plymouth, Plymouth, PL4 6ER",From £120 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/HvBy8S5jsUONvJ0jwW6bkQ.jpg",https://www.accommodationforstudents.com/property/AGT89674_31054731,08-Dec-2021 18:58:19
"2 bed flat, Newcastle Upon Tyne","Helmsley Road, Newcastle Upon Tyne, Newcastle, NE2 1RE",From £98 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto-live.s3.amazonaws.com/4d5fcTSkJ6bJCY3ezfjkYeuMjNo/duFNKxKN7JG24hGWqppoA5Lt7Yc/Photo/[3]/v5Sxn1PnEUiIPipRaiVzOQ.jpg",https://www.accommodationforstudents.com/property/AGT22834_31033119,08-Dec-2021 18:58:19
"2 bed flat, Newcastle Upon Tyne","Hadrian's Tower, Newcastle Upon Tyne, Newcastle, NE1 5DP",From £202 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/cJx9uzeZyMx3lwbJB1E2Yd8mjLw/oJW92mLvzIXECsDaBoZRvphnHvg/Photo/[3]/biy5lXRWY0KjhhswWKYCMg.jpg",https://www.accommodationforstudents.com/property/AGT20815_30352384,08-Dec-2021 18:58:19
"2 bed house, Canterbury","Wincheap, Canterbury, Canterbury, CT1 3RX",From £145 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/24929/31120284/image/s2/637731871520173827/f94ff4d878294d1391264f66d9b9509b08a7b067.jpg",https://www.accommodationforstudents.com/property/AGT24929_31120284,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Belgrave Lane, Plymouth, Plymouth, PL4 7DA",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/2j6d3ut3ak28pgEFzUJ-Sg.jpg",https://www.accommodationforstudents.com/property/AGT89674_31062545,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Belgrave Lane, Plymouth, Plymouth, PL4 7DA",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/_-f-8MvwMkSJKlrxy9kKGg.jpg",https://www.accommodationforstudents.com/property/AGT89674_31062531,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Belgrave Lane, Plymouth, Plymouth, PL4 7DA",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/jEZPqBeUKUKQtN_uTEdKiA.jpg",https://www.accommodationforstudents.com/property/AGT89674_31017551,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Belgrave Lane, Plymouth, Plymouth, PL4 7DA",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/Sz3pts-TmEevLYbxTOjygQ.jpg",https://www.accommodationforstudents.com/property/AGT89674_31062550,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Belgrave Lane, Plymouth, Plymouth, PL4 7DA",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/mcvPZP6VvUeHEfXlafWVBg.jpg",https://www.accommodationforstudents.com/property/AGT89674_31062536,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Belgrave Lane, Plymouth, Plymouth, PL4 7DA",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/CbwIZrSbEkCl2P5Dvou0xw.jpg",https://www.accommodationforstudents.com/property/AGT89674_31062476,08-Dec-2021 18:58:19
"2 bed flat, Plymouth","Belgrave Lane, Plymouth, Plymouth, PL4 7DA",From £124 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/jRroNPQJK0eoXoMf7_8mpg.jpg",https://www.accommodationforstudents.com/property/AGT89674_31062480,08-Dec-2021 18:58:19
