property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"4 bed house, Swansea","Brynmill, Swansea, Swansea, SA2 0DB",From £101 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3.eu-west-2.amazonaws.com/media.estateagentfeeds.com/properties/media/xl/3500250d7a0e97dbd076bb0de09dede2_0.jpg",https://www.accommodationforstudents.com/property/AGT96828_547,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Treorky Street, Cardiff, Cardiff, CF24 4JP",From £89 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045774/image/s2/637704281494541001/2dff4ec859888e3dad3d52af4a8029ad5e9fa21b.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045774,23-Oct-2021 19:59:55
"4 bed house, Swansea","Brynmill, Swansea, Swansea, SA2 0DE",From £101 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3.eu-west-2.amazonaws.com/media.estateagentfeeds.com/properties/media/xl/f8cf93f7bd2d3e59875f0e9198b70b7a_0.jpg",https://www.accommodationforstudents.com/property/AGT96828_549,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Dogfield Street, Cardiff, Cardiff, CF24 4QT",From £91 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045950/image/s2/637704301463736485/73370e404bfffd1560bd1aeba881ecc7878aeece.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045950,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Mackintosh Place, Cardiff, Cardiff, CF24 4RS",From £89 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045149/image/s2/637704208611346396/4d08331d6395f6c94dc72e1f2d4733471adbe9e9.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045149,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Flora Street, Cardiff, Cardiff, CF24 4EP",From £92 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045929/image/s2/637704299960023547/8e5e3f24fb5f214f5c7be5013a0a9c7ec4bf7a85.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045929,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Minister Street, Cardiff, Cardiff, CF24 4HR",From £87 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045766/image/s2/637704279988542998/a440e41a7bd81ac5560de5f100efa841d2bf177d.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045766,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Moy Road, Cardiff, Cardiff, CF24 4TF",From £87 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045866/image/s2/637704291734721254/3abb994b72a9f602e037b495160e95e5ac70f123.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045866,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Albany Road, Cardiff, Cardiff, CF24 3NT",From £87 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045574/image/s2/637704266741681805/ddf45dae8c3b22abcd5147709efe4a683b0fe03b.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045574,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Rhymney Street, Cardiff, Cardiff, CF24 4DF",From £87 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045039/image/s2/637704189571998180/56d6b682f9ad2f343971e5569072febfcc5b71a3.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045039,23-Oct-2021 19:59:55
"4 bed house, Leicester","Jarrom Street, Leicester, Leicester, LE2 7DF",From £82 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3.eu-west-2.amazonaws.com/media.estateagentfeeds.com/properties/media/xl/d6c625ffc79cd2e7e1668ff078053911_0.jpg",https://www.accommodationforstudents.com/property/AGT16586_347,23-Oct-2021 19:59:55
